SHITOMASI+BRIEF, 16.7562, 16.91, 15.9006, 15.3083, 15.2272, 15.0268, 15.4846, 15.4273, 15.5404
SHITOMASI+ORB, 16.5153, 16.2781, 16.6071, 16.4852, 17.0313, 17.4788, 16.5704, 16.8042, 16.8137
SHITOMASI+FREAK, 46.4443, 44.6189, 44.0645, 43.6572, 43.3288, 43.4372, 43.87, 43.143, 43.451
SHITOMASI+SIFT, 24.8642, 24.3945, 23.8865, 23.0956, 22.7883, 23.9783, 23.3916, 23.644, 23.0418
HARRIS+BRIEF, 12.1882, 12.8417, 12.8678, 12.4315, 13.4096, 14.0088, 12.9659, 13.1453, 13.0815
HARRIS+ORB, 12.5127, 12.7749, 12.642, 12.7186, 13.6622, 14.9862, 12.7881, 13.2567, 13.4014
HARRIS+FREAK, 46.1687, 44.6467, 43.2257, 44.2931, 45.7985, 44.3067, 44.4644, 45.2239, 46.2936
HARRIS+SIFT, 22.6888, 22.9273, 22.0543, 21.7084, 23.2434, 22.0965, 22.1654, 23.6175, 22.5324
FAST+BRIEF, 10.9654, 10.9676, 11.0074, 10.9265, 10.7128, 10.9818, 10.9532, 10.7951, 10.8686
FAST+ORB, 11.3605, 11.3744, 11.7321, 11.9174, 12.0951, 12.0911, 11.9627, 11.855, 11.741
FAST+FREAK, 44.425, 43.2081, 42.6317, 42.8108, 42.6398, 42.9406, 42.954, 43.0393, 43.0937
FAST+SIFT, 26.4133, 25.2385, 25.7073, 25.3011, 26.004, 25.6932, 25.7833, 25.412, 26.1098
BRISK+BRIEF, 284.536, 284.615, 283.529, 294.546, 286.469, 286.556, 284.022, 285.335, 283.786
BRISK+ORB, 288.567, 289.421, 288.709, 288.112, 288.694, 289.855, 287.022, 287.074, 287.443
BRISK+FREAK, 316.119, 321.868, 318.304, 317.081, 315.796, 317.321, 316.179, 315.689, 318.424
BRISK+SIFT, 305.959, 304.944, 305.97, 306.814, 307.601, 306.396, 303.068, 303.128, 304.188
ORB+BRIEF, 10.576, 10.2683, 10.2203, 10.2379, 10.244, 10.4808, 10.736, 10.4477, 10.4947
ORB+ORB, 13.8956, 14.8707, 15.2196, 14.8361, 14.4378, 15.127, 14.7918, 15.2022, 14.5305
ORB+FREAK, 41.3399, 40.9105, 41.7781, 40.4132, 41.3461, 40.3419, 40.8977, 41.4685, 40.9075
ORB+SIFT, 32.3449, 33.6678, 34.1119, 33.6504, 35.3029, 34.9699, 37.9626, 37.5176, 34.6094
AKAZE+BRIEF, 48.3447, 46.7034, 47.3914, 47.9121, 48.4219, 47.6893, 47.6064, 48.3627, 45.7989
AKAZE+ORB, 49.455, 49.0261, 49.6546, 56.2388, 56.3997, 49.9564, 49.7819, 47.7471, 49.0734
AKAZE+FREAK, 77.7868, 76.2322, 81.4287, 80.9486, 76.6305, 80.7153, 79.0272, 81.9651, 77.6097
AKAZE+AKAZE, 83.1708, 79.7351, 78.785, 82.2852, 83.4191, 80.2332, 82.9365, 84.3025, 83.4293
AKAZE+SIFT, 64.1012, 60.3003, 66.5954, 62.8306, 64.3017, 63.7699, 63.6718, 59.593, 64.6944
SIFT+BRIEF, 77.0353, 75.9244, 75.7416, 77.2372, 76.963, 76.6405, 83.3469, 78.9894, 77.4535
SIFT+FREAK, 108.199, 108.398, 107.223, 107.603, 107.291, 107.568, 112.541, 110.54, 112.199
SIFT+SIFT, 112.956, 113.336, 114.883, 115.702, 116.079, 115.345, 114.734, 116.021, 115.638